Journal Name,SCIE,Impact Factor,Quartile,Alias,ISSN,EISSN,JIF5Years,Category
Tiempos Modernos-Revista Electronica de Historia Moderna,SCIE,0.2,,TIEMPOS MODERNOS,1699-7778,1699-7778,0.4,HISTORY|Q2|234/518
Turkish Journal of Nephrology,SCIE,0.2,,TURK J NEPHROL,N/A,2667-4440,0.2,UROLOGY & NEPHROLOGY|Q4|121/126
Vestnik of Saint Petersburg University Earth Sciences,SCIE,0.2,,VESTN ST PETER U-EAR,2541-9668,2587-585X,0.3,"GEOSCIENCES, MULTIDISCIPLINARY|Q4|247/253"
VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT,SCIE,0.2,,VLAAMS DIERGEN TIJDS,0303-9021,0303-9021,0.3,VETERINARY SCIENCES|Q4|158/167
Vojnosanitetski Pregled,SCIE,0.2,,VOJNOSANIT PREGL,0042-8450,2406-0720,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
AIB Studi,SCIE,0.2,,AIB STUD,2280-9112,2239-6144,0.2,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|139/160
Analytical Science and Technology,SCIE,0.2,,ANAL SCI TECHNOL,1225-0163,2288-8985,0.3,"CHEMISTRY, ANALYTICAL|Q4|105/106"
ANNALES HISTORIQUES DE LA REVOLUTION FRANCAISE,SCIE,0.2,,ANN HIST REVOL FR,0003-4436,1952-403X,0.2,HISTORY|Q2|234/518
Bauphysik,SCIE,0.2,,BAUPHYSIK,0171-5445,1437-0980,0.3,CONSTRUCTION & BUILDING TECHNOLOGY|Q4|87/91
Buffalo Bulletin,SCIE,0.2,,BUFFALO BULL,0125-6726,2539-5696,0.2,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|Q4|74/80"
CASTANEA,SCIE,0.2,,CASTANEA,0008-7475,1938-4386,0.4,PLANT SCIENCES|Q4|261/265
Chinese Archaeology,SCIE,0.2,,CHIN ARCHAEOL,2160-5025,2160-5068,0.2,ARCHAEOLOGY|N/A|N/A
Civil Engineering Journal-Stavebni Obzor,SCIE,0.2,,CIV ENG J-STAVEB OBZ,1210-4027,1805-2576,0.2,"ENGINEERING, CIVIL|Q4|175/181"
Connectist-Istanbul University Journal of Communication Sciences,SCIE,0.2,,CONNECTIST,N/A,2636-8943,0.2,COMMUNICATION|Q4|209/227
Current Bladder Dysfunction Reports,SCIE,0.2,,CURR BLADDER DYSFUNC,1931-7212,1931-7220,0.4,UROLOGY & NEPHROLOGY|Q4|121/126
Dental Cadmos,SCIE,0.2,,DENT CADMOS,0011-8524,0011-8524,0.2,"DENTISTRY, ORAL SURGERY & MEDICINE|Q4|147/157"
Devices and Methods of Measurements,SCIE,0.2,,DEVICES METHODS MEAS,2220-9506,2414-0473,0.2,INSTRUMENTS & INSTRUMENTATION|Q4|75/76
Didactica de las Ciencias Experimentales y Sociales,SCIE,0.2,,DIDACT CIENC EXP SOC,0214-4379,2255-3835,0.3,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
Documentacion de las Ciencias de la Informacion,SCIE,0.2,,DOC CIENC INF,0210-4210,1988-2890,0.2,COMMUNICATION|Q4|209/227
Food Hygiene and Safety Science,SCIE,0.2,,FOOD HYG SAFE SCI,0015-6426,N/A,0.3,FOOD SCIENCE & TECHNOLOGY|Q4|167/173
Gragoata-UFF,SCIE,0.2,,GRAGOATA-UFF,1413-9073,2358-4114,0.1,LANGUAGE & LINGUISTICS|N/A|N/A
INDIAN JOURNAL OF HETEROCYCLIC CHEMISTRY,SCIE,0.2,,INDIAN J HETEROCY CH,0971-1627,2456-4311,0.2,"CHEMISTRY, ORGANIC|Q4|56/58"
Indian Journal of Medical Specialities,SCIE,0.2,,INDIAN J MED SPEC,0976-2884,0976-2892,0.4,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Indian Journal of Paediatric Dermatology,SCIE,0.2,,INDIAN J PAEDIATR DE,2319-7250,2319-7269,N/A,PEDIATRICS|Q4|168/186
Indian Journal of Transplantation,SCIE,0.2,,INDIAN J TRANSPLANT,2212-0017,2212-0025,N/A,TRANSPLANTATION|Q4|29/31
International Journal of Arts and Technology,SCIE,0.2,,INT J ARTS TECHNOL,1754-8853,1754-8861,0.2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS|Q4|166/169"
International Journal of Mathematics and Physics,SCIE,0.2,,INT J MATH PHYS-KAZA,2218-7987,2409-5508,0.1,"PHYSICS, MULTIDISCIPLINARY|Q4|105/110"
International Journal of Technologies in Higher Education,SCIE,0.2,,INT J TECHNOL HIGH E,1708-7570,1708-7570,0.2,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
Iranian Journal of Radiology,SCIE,0.2,,IRAN J RADIOL,1735-1065,2008-2711,0.3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|198/204"
Journal of Clinical Urology,SCIE,0.2,,J CLIN UROL,2051-4158,2051-4166,0.3,UROLOGY & NEPHROLOGY|Q4|121/126
Journal of Cognitive Science,SCIE,0.2,,J COGN SCI,1598-2327,1598-2327,0.2,LINGUISTICS|Q4|254/297
Journal of Library and Information Studies,SCIE,0.2,,J LIBR INFORM STUD,1606-7509,2309-9119,0.2,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|139/160
Journal of Pediatric Neurology,SCIE,0.2,,J PEDIATR NEUROL,1304-2580,1875-9041,0.2,PEDIATRICS|Q4|168/186
Journal of the Dermatology Nurses Association,SCIE,0.2,,J DERMAT NURSES ASSO,1945-760X,1945-7618,0.3,DERMATOLOGY|Q4|86/94
Meandros Medical and Dental Journal,SCIE,0.2,,MEAND MED DENT J,2149-9063,2149-9063,0.3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
NAVAL ENGINEERS JOURNAL,SCIE,0.2,,NAV ENG J,0028-1425,1559-3584,0.2,OCEANOGRAPHY|Q4|64/65
Netherlands Journal of Critical Care,SCIE,0.2,,NETH J CRIT CARE,1569-3511,1569-3511,0.2,CRITICAL CARE MEDICINE|Q4|52/54
Onkologie,SCIE,0.2,,ONKOLOGIE-GER,2731-7226,2731-7234,0.2,ONCOLOGY|Q4|315/322
Osteologie,SCIE,0.2,,OSTEOLOGIE,1019-1291,2567-5818,0.2,ORTHOPEDICS|Q4|131/136
PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,SCIE,0.2,,P LINN SOC N S W,0370-047X,N/A,0.5,ECOLOGY|Q4|192/195
Revista CES Psicologia,SCIE,0.2,,REV CES PSICOL,2011-3080,2011-3080,0.3,"PSYCHOLOGY, MULTIDISCIPLINARY|Q4|205/218"
Revista Colombiana de Quimica,SCIE,0.2,,REV COLOMB QUIM,0120-2804,2357-3791,0.4,"CHEMISTRY, MULTIDISCIPLINARY|Q4|225/230"
Revista Conrado,SCIE,0.2,,REV CONRADO,1990-8644,1990-8644,0.3,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
Revista Electronica de Estudios Internacionales,SCIE,0.2,,REV ELECTRON ESTUD I,1697-5197,1697-5197,0.2,LAW|Q4|316/421
Revista Forestal Mesoamerica Kuru-RFMK,SCIE,0.2,,REV FOR MESOAM KURU-,2215-2504,2215-2504,0.3,FORESTRY|Q4|86/89
Revista Geografica de America Central,SCIE,0.2,,REV GEOGR AM CENT,1011-484X,2215-2563,0.3,GEOGRAPHY|Q4|147/171
Revista San Gregorio,SCIE,0.2,,REV SAN GREGORIO,1390-7247,2528-7907,0.2,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Revista Universidad y Sociedad,SCIE,0.2,,REV UNIV SOC,2218-3620,2218-3620,0.2,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Revista Virtual de Estudos da Linguagem-ReVEL,SCIE,0.2,,REV VIRTUAL ESTUD LI,1678-8931,1678-8931,0.1,LANGUAGE & LINGUISTICS|N/A|N/A
Russian Open Medical Journal,SCIE,0.2,,RUSS OPEN MED J,2304-3415,2304-3415,0.3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Slovo,SCIE,0.2,,SLOVO-LONDON,0954-6839,N/A,0.2,"HUMANITIES, MULTIDISCIPLINARY|N/A|N/A"
Tomskii Zhurnal Lingvisticheskikh i Antropologicheskikh Issledovanii-Tomsk Journal of Linguistics and Anthropology,SCIE,0.2,,TOMSK ZH LINGVIST AN,2307-6119,2307-6119,0.1,ANTHROPOLOGY|Q4|122/139
Turkish Journal of Immunology,SCIE,0.2,,TURK J IMMUNOL,1301-109X,2147-8325,0.3,IMMUNOLOGY|Q4|180/181
Turkiye Iletisim Arastirmalari Dergisi-Turkish Review of Communication Studies,SCIE,0.2,,TURK ILET ARASTIRMAL,N/A,2630-6220,0.2,COMMUNICATION|Q4|209/227
Vestnik Transplantologii i Iskusstvennyh Organov,SCIE,0.2,,VESTN TRANSPL ISKUSS,1995-1191,2412-6160,0.2,TRANSPLANTATION|Q4|29/31
Vigilancia Sanitaria em Debate-Sociedade Ciencia & Tecnologia,SCIE,0.2,,VIGIL SANIT DEBATE,2317-269X,2317-269X,0.3,HEALTH CARE SCIENCES & SERVICES|Q4|169/174
Zeitschrift fur Soziologie der Erziehung und Sozialisation,SCIE,0.2,,Z SOZIOL ERZIEH SOZI,1436-1957,1436-1957,0.2,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P PAVLOVA,SCIE,0.2,,ZH VYSSH NERV DEYAT+,0044-4677,0044-4677,0.2,PHYSIOLOGY|Q4|85/85
Actualidad Juridica Ambiental,SCIE,0.2,,ACTUAL JURID AMBIENT,1989-5666,1989-5666,0.2,LAW|Q4|316/421
Andamios,SCIE,0.2,,ANDAMIOS,1870-0063,2594-1917,0.4,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Anuario Musical,SCIE,0.2,,ANU MUSIC,0211-3538,1988-4125,0.2,MUSIC|N/A|N/A
Bezmialem Science,SCIE,0.2,,BEZMIALEM SCI,2148-2373,2148-2373,0.3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Clinical Social Work and Health Intervention,SCIE,0.2,,CLIN SOC WORK HEALTH,2222-386X,2076-9741,0.1,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|394/403"
Cuadernos Electronicos de Filosofia del Derecho,SCIE,0.2,,CUAD ELECTRON FILOS,1138-9877,1138-9877,0.1,LAW|Q4|316/421
Current Problems in Cancer: Case Reports,SCIE,0.2,,CURR PROB CANCER-C R,2666-6219,2666-6219,0.2,ONCOLOGY|Q4|315/322
Dixit,SCIE,0.2,,DIXIT,1688-3497,0797-3691,0.2,COMMUNICATION|Q4|209/227
Educar em Revista,SCIE,0.2,,EDUC REV-CURITIBA,0104-4060,1984-0411,0.3,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
Education et Francophonie,SCIE,0.2,,EDUC FRANCOPH,0849-1089,1916-8659,0.2,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
GRUPPENPSYCHOTHERAPIE UND GRUPPENDYNAMIK,SCIE,0.2,,GRUPPENPSYCHOTHER GR,0017-4947,2196-7989,0.2,"PSYCHOLOGY, CLINICAL|Q4|176/180"
Guncel Pediatri-Journal of Current Pediatrics,SCIE,0.2,,GUNCEL PEDIATRI,1304-9054,1308-6308,0.2,PEDIATRICS|Q4|168/186
Healthcare in Low-resource Settings,SCIE,0.2,,HEALTHC LOW-RESOUR S,N/A,2281-7824,0.2,HEALTH CARE SCIENCES & SERVICES|Q4|169/174
Hungarian Cultural Studies,SCIE,0.2,,HUNG CULT STUD,2471-965X,2471-965X,0.2,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Indian Anaesthetists Forum,SCIE,0.2,,INDIAN ANAESTH FORUM,2589-7934,0973-0311,0.2,ANESTHESIOLOGY|Q4|55/64
International Journal of Biomedicine,SCIE,0.2,,INT J BIOMED,2158-0510,2158-0529,0.1,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|182/189"
International Journal of Ecological Economics & Statistics,SCIE,0.2,,INT J ECOL ECON STAT,0973-1385,0973-1385,0.2,ECONOMICS|Q4|564/597
International Journal of Noncommunicable Diseases,SCIE,0.2,,INT J NONCOMMUN DIS,2468-8827,2468-8835,N/A,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|394/403"
INTERNATIONAL SURGERY,SCIE,0.2,,INT SURG,0020-8868,N/A,0.2,SURGERY|Q4|278/290
IPRI Journal,SCIE,0.2,,IPRI J,1684-9787,1684-9809,0.3,INTERNATIONAL RELATIONS|Q4|152/165
Journal of Horticultural Sciences,SCIE,0.2,,J HORTIC SCI-INDIA,0973-354X,2582-4899,N/A,HORTICULTURE|Q4|38/38
Journal of Neuroanaesthesiology and Critical Care,SCIE,0.2,,J NEUROANAESTH CRIT,2348-0548,2348-926X,N/A,CRITICAL CARE MEDICINE|Q4|52/54
Journal of Pediatric Epilepsy,SCIE,0.2,,J PEDIATR EPILEPSY,2146-457X,2146-4588,0.2,PEDIATRICS|Q4|168/186
Journal of Social Inclusion,SCIE,0.2,,J SOC INCL,1836-8808,1836-8808,0.5,SOCIAL ISSUES|Q4|60/67
Journal of the Chinese Society of Mechanical Engineers,SCIE,0.2,,J CHIN SOC MECH ENG,0257-9731,N/A,0.2,"ENGINEERING, MECHANICAL|Q4|175/180"
Jurnal Ilmu dan Teknologi Kelautan Tropis,SCIE,0.2,,J ILMU TEKNOL KELAUT,2087-9423,2085-6695,0.2,MARINE & FRESHWATER BIOLOGY|Q4|115/119
Langages,SCIE,0.2,,LANGAGES,0458-726X,1958-9549,0.3,LINGUISTICS|Q4|254/297
Lesnoy Zhurnal-Forestry Journal,SCIE,0.2,,LESNOY ZH,0536-1036,0536-1036,0.2,FORESTRY|Q4|86/89
Medecine Nucleaire-Imagerie Fonctionnelle et Metabolique,SCIE,0.2,,MED NUCL,0928-1258,1878-6820,0.2,PATHOLOGY|Q4|86/88
Medical Journal of Bakirkoy,SCIE,0.2,,MED J BAKIRKOY,1305-9319,1305-9327,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Medicina Balear,SCIE,0.2,,MED BALEAR,1579-5853,2255-0569,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
METALLURGIA ITALIANA,SCIE,0.2,,METALL ITAL,0026-0843,0026-0843,0.2,METALLURGY & METALLURGICAL ENGINEERING|Q4|90/90
Methaodos-Revista de Ciencias Sociales,SCIE,0.2,,METHAODOS,2340-8413,2340-8413,0.3,SOCIOLOGY|Q4|199/217
Neurology Asia,SCIE,0.2,,NEUROL ASIA,1823-6138,1823-6138,0.2,CLINICAL NEUROLOGY|Q4|274/277
NMIMS Management Review,SCIE,0.2,,NMIMS MANAG REV,0971-1023,0971-1023,0.3,MANAGEMENT|Q4|383/401
PAEDIATRIE UND PAEDOLOGIE,SCIE,0.2,,PADIATR PADOL,0030-9338,1613-7558,0.1,PEDIATRICS|Q4|168/186
Periodico Tche Quimica,SCIE,0.2,,PERIOD TCHE QUIM,1806-0374,2179-0302,0.2,"CHEMISTRY, MULTIDISCIPLINARY|Q4|225/230"
Problemy Zarzadzania-Management Issues,SCIE,0.2,,PROBL ZARZ,1644-9584,2300-8792,0.4,MANAGEMENT|Q4|383/401
Proceedings of the National Academy of Sciences of Belarus-Agrarian Series,SCIE,0.2,,P NATL A SCI BEL AGR,1817-7204,1817-7239,0.1,"AGRICULTURE, MULTIDISCIPLINARY|Q4|82/89"
Recherches Sociographiques,SCIE,0.2,,RECH SOCIOGRAPHIQUES,0034-1282,0034-1282,0.2,SOCIOLOGY|Q4|199/217
Revista Agrogeoambiental,SCIE,0.2,,REV AGROGEOAMBIENTAL,1984-428X,2316-1817,0.3,AGRONOMY|Q4|120/125
Revista Colombiana de Ciencias Sociales,SCIE,0.2,,REV COLOMB CIENC SOC,2216-1201,2216-1201,0.3,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Revista Cubana de Ingenieria,SCIE,0.2,,REV CUBA ING,2223-1781,2223-1781,0.1,"ENGINEERING, MULTIDISCIPLINARY|Q4|168/179"
Revista Praxis Educacional,SCIE,0.2,,REV PRAX EDUC,1809-0249,2178-2679,0.1,EDUCATION & EDUCATIONAL RESEARCH|Q4|661/756
RISUS-Journal on Innovation and Sustainability,SCIE,0.2,,RISUS,2179-3565,2179-3565,0.2,MANAGEMENT|Q4|383/401
SaberEs,SCIE,0.2,,SABERES,1852-4184,1852-4222,0.3,ECONOMICS|Q4|564/597
Srpski Arhiv za Celokupno Lekarstvo,SCIE,0.2,,SRP ARK CELOK LEK,0370-8179,0370-8179,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Transactions of the Korean Society of Mechanical Engineers A,SCIE,0.2,,T KOR SOC MEC ENG A,1226-4873,2288-5226,0.2,"ENGINEERING, MECHANICAL|Q4|175/180"
Turk Osteoporoz Dergisi-Turkish Journal of Osteoporosis,SCIE,0.2,,TURK OSTEOPOROZ DERG,2147-2653,2147-2653,0.2,RHEUMATOLOGY|Q4|55/57
Turkish Journal of Endocrinology and Metabolism,SCIE,0.2,,TURK J ENDOCRINOL ME,1301-2193,1301-2193,0.2,ENDOCRINOLOGY & METABOLISM|Q4|180/186
Tydskrif Vir Geesteswetenskappe,SCIE,0.2,,TYDSKR GEESTESWET,0041-4751,N/A,0.2,SOCIAL ISSUES|Q4|60/67
VOPROSY PSIKHOLOGII,SCIE,0.2,,VOP PSIKHOL+,0042-8841,0042-8841,0.2,"PSYCHOLOGY, EDUCATIONAL|Q4|74/74"
WasserWirtschaft,SCIE,0.2,,WASSERWIRTSCHAFT,0043-0978,2192-8762,0.1,WATER RESOURCES|Q4|125/127
Alergologia Polska-Polish Journal of Allergology,SCIE,0.2,,ALERGOL POL,2353-3854,2353-3854,0.1,ALLERGY|Q4|36/39
Allergy Asthma & Respiratory Disease,SCIE,0.2,,ALLERGY ASTHMA RESPI,2288-0402,2288-0410,0.2,ALLERGY|Q4|36/39
Annals of Indian Psychiatry,SCIE,0.2,,ANN INDIAN PSYCH,2588-8358,2588-8366,0.3,PSYCHIATRY|Q4|271/276
ANTHROPOS,SCIE,0.2,,ANTHROPOS,0257-9774,N/A,0.2,ANTHROPOLOGY|Q4|122/139
Anuario Turismo y Sociedad,SCIE,0.2,,ANU TUR SOC,0120-7555,2346-206X,0.2,"HOSPITALITY, LEISURE, SPORT & TOURISM|Q4|135/139"
Atelie Geografico,SCIE,0.2,,ATELIE GEOGR,1982-1956,1982-1956,0.2,GEOGRAPHY|Q4|147/171
ATW-INTERNATIONAL JOURNAL FOR NUCLEAR POWER,SCIE,0.2,,ATW-INT J NUCL POWER,1431-5254,N/A,0.2,NUCLEAR SCIENCE & TECHNOLOGY|Q4|40/40
Avances en Psicologia Latinoamericana,SCIE,0.2,,AV PSICOL LATINOAM,1794-4724,2145-4515,0.5,PSYCHOLOGY|Q4|89/92
BIOTECHNOLOGY LAW REPORT,SCIE,0.2,,BIOTECHNOL LAW REP,0730-031X,1557-8704,0.1,BIOTECHNOLOGY & APPLIED MICROBIOLOGY|Q4|171/174
Bollettino di Storia delle Scienze Matematiche,SCIE,0.2,,B STOR SCI MAT,0392-4432,1724-1650,0.1,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q4|132/135"
Bulletin of Russian State Medical University,SCIE,0.2,,B RUSS STATE MED U,2500-1094,2542-1204,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Ciencia Politica,SCIE,0.2,,CIENC POLITICA,1909-230X,2389-7481,0.3,POLITICAL SCIENCE|Q4|280/317
COLOPROCTOLOGY,SCIE,0.2,,COLOPROCTOLOGY,0174-2442,1615-6730,0.2,GASTROENTEROLOGY & HEPATOLOGY|Q4|139/143
Current Respiratory Medicine Reviews,SCIE,0.2,,CURR RESPIR MED REV,1573-398X,1875-6387,0.2,RESPIRATORY SYSTEM|Q4|95/100
E-Ciencias de la Informacion,SCIE,0.2,,E-CIENC INF,1659-4142,1659-4142,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|139/160
Egyptian Journal of Pediatric Allergy and Immunology,SCIE,0.2,,EGYPT J PEDIATR ALLE,1687-1642,2314-8934,0.2,ALLERGY|Q4|36/39
FISHERY TECHNOLOGY,SCIE,0.2,,FISH TECHNOL,0015-3001,0015-3001,0.3,FISHERIES|Q4|62/62
Gesundheitsoekonomie und Qualitaetsmanagement,SCIE,0.2,,GESUNDH QUAL,1432-2625,1439-4049,0.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|394/403"
Gynakologie,SCIE,0.2,,GYNAKOLOGIE,2731-7102,2731-7110,0.1,OBSTETRICS & GYNECOLOGY|Q4|128/136
H-ermes-Journal of Communication,SCIE,0.2,,H-ERMES,2284-0753,2284-0753,0.2,COMMUNICATION|Q4|209/227
Historical Review-La Revue Historique,SCIE,0.2,,HIST REV-GREECE,1790-3572,1791-7603,0.3,HISTORY|Q2|234/518
Hong Kong Journal of Radiology,SCIE,0.2,,HONG KONG J RADIOL,2223-6619,2307-4620,0.2,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q4|198/204"
Indian Journal of Respiratory Care,SCIE,0.2,,INDIAN J RESPIR CARE,2277-9019,2321-4899,0.2,RESPIRATORY SYSTEM|Q4|95/100
Infektsiya i Immunitet,SCIE,0.2,,INFEKTSIYA IMMUN,2220-7619,2313-7398,0.2,INFECTIOUS DISEASES|Q4|128/132
International Cardiovascular Research Journal,SCIE,0.2,,INT CARDIOVASC RES J,2251-9130,2251-9149,0.2,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|205/220
International Journal of Ecology & Development,SCIE,0.2,,INT J ECOL DEV,0972-9984,0973-7308,0.2,ECOLOGY|Q4|192/195
Istanbul Iktisat Dergisi-Istanbul Journal of Economics,SCIE,0.2,,ISTANBUL J ECON,2602-4152,2602-3954,N/A,ECONOMICS|Q4|564/597
Istanbul Medical Journal,SCIE,0.2,,ISTANB MED J,2619-9793,2148-094X,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Journal for New Generation Sciences,SCIE,0.2,,J NEW GENER SCI,1684-4998,1684-4998,0.3,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
JOURNAL OF ADVANCED APPLIED SCIENTIFIC RESEARCH,SCIE,0.2,,J ADV APPL SCI RES,2454-3225,2454-3225,0.3,MULTIDISCIPLINARY SCIENCES|Q4|119/134
Journal of Clinical and Diagnostic Research,SCIE,0.2,,J CLIN DIAGN RES,2249-782X,0973-709X,0.3,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Journal of Clinical Sciences,SCIE,0.2,,J CLIN SCI,2468-6859,2408-7408,N/A,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Journal of Contemporary Medical Sciences,SCIE,0.2,,J CONTEMP MED SCI,2413-0516,2413-0516,0.4,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Journal of the Practice of Cardiovascular Sciences,SCIE,0.2,,J PRACT CARDIOVASC S,2395-5414,2454-2830,N/A,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|205/220
Jurnal Fizik Malaysia,SCIE,0.2,,J FIZ MALAYS,0128-0333,0128-0333,0.2,"PHYSICS, MULTIDISCIPLINARY|Q4|105/110"
LISTY CUKROVARNICKE A REPARSKE,SCIE,0.2,,LISTY CUKROV REPAR,1210-3306,1805-9708,0.1,FOOD SCIENCE & TECHNOLOGY|Q4|167/173
Litera-Journal of Language Literature and Culture Studies,SCIE,0.2,,LITERA-TURKEY,1304-0057,2602-2117,0.2,LANGUAGE & LINGUISTICS|N/A|N/A
Loquens,SCIE,0.2,,LOQUENS,2386-2637,2386-2637,0.3,LINGUISTICS|Q4|254/297
Makara Journal of Technology,SCIE,0.2,,MAKARA J TECHNOL,2355-2786,2356-4539,0.2,"ENGINEERING, MULTIDISCIPLINARY|Q4|168/179"
Marine Intellectual Technologies,SCIE,0.2,,MAR INTELLECT TECHNO,2073-7173,2073-7173,0.1,"ENGINEERING, MARINE|Q4|24/25"
Marmara Medical Journal,SCIE,0.2,,MARMARA MED J,1309-9469,1309-9469,0.2,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
MSKMuskuloskelettale Physiotherapie,SCIE,0.2,,MSK-MUSKULOSKEL PHYS,2701-6986,2701-7818,0.2,REHABILITATION|Q4|169/169
New Armenian Medical Journal,SCIE,0.2,,NEW ARMEN MED J,1829-0825,1829-0825,0.1,"MEDICINE, GENERAL & INTERNAL|Q4|268/325"
Noesis-Revista de Ciencias Sociales y Humanidades,SCIE,0.2,,NOESIS-REV CIENC SOC,0188-9834,2395-8669,0.2,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q4|218/263"
Optica Pura y Aplicada,SCIE,0.2,,OPT PURA APL,0030-3917,2171-8814,0.2,OPTICS|Q4|118/119
Papeles de Poblacion,SCIE,0.2,,PAPELES POBLAC,1405-7425,1405-7425,0.3,DEMOGRAPHY|Q4|47/49
PERIODICUM BIOLOGORUM,SCIE,0.2,,PERIOD BIOL,0031-5362,N/A,0.4,BIOLOGY|Q4|104/109
Perspectivas em Ciencia da Informacao,SCIE,0.2,,PERSPECT CIENC INF,1413-9936,1981-5344,0.3,INFORMATION SCIENCE & LIBRARY SCIENCE|Q4|139/160
Physical and Chemical Aspects of the Study of Clusters Nanostructures and Nanomaterials,SCIE,0.2,,PHYS CHEM ASPECTS ST,2226-4442,2658-4360,0.2,"PHYSICS, CONDENSED MATTER|Q4|78/79"
Pielegniarstwo Chirurgiczne i Angiologiczne-Surgical and Vascular Nursing,SCIE,0.2,,PIELEGNIARSTWO CHIR,1897-3116,2084-9850,0.2,NURSING|Q4|184/191
Postepy Higieny I Medycyny Doswiadczalnej,SCIE,0.2,,POSTEP HIG MED DOSW,0032-5449,1732-2693,0.3,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|182/189"
PROGRESS IN BIOCHEMISTRY AND BIOPHYSICS,SCIE,0.2,,PROG BIOCHEM BIOPHYS,1000-3282,1000-3282,0.3,BIOPHYSICS|Q4|77/77
Progress in Superconductivity and Cryogenics,SCIE,0.2,,PROG SUPERCOND CRYOG,1229-3008,2287-6251,0.3,"PHYSICS, APPLIED|Q4|178/179"
Recherche en Soins Infirmiers,SCIE,0.2,,RECH SOINS INFIRM,0297-2964,2271-8362,0.3,NURSING|Q4|184/191
Research in Cardiovascular Medicine,SCIE,0.2,,RES CARDIOVASC MED,2251-9572,2251-9580,N/A,CARDIAC & CARDIOVASCULAR SYSTEMS|Q4|205/220
Retail and Marketing Review,SCIE,0.2,,RETAIL MARK REV,2708-3209,2708-3209,0.3,BUSINESS|Q4|288/302
Revista Brasileira de Inovacao,SCIE,0.2,,REV BRAS INOV,1677-2504,2178-2822,0.3,BUSINESS|Q4|288/302
REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS,SCIE,0.2,,REV CIENT-FAC CIEN V,0798-2259,N/A,0.2,VETERINARY SCIENCES|Q4|158/167
Revista Colombiana de Bioetica,SCIE,0.2,,REV COLOMB BIOET,1900-6896,2590-9452,0.1,ETHICS|Q4|76/77
Revista Colombiana de Sociologia,SCIE,0.2,,REV COLOMB SOCIOL,0120-159X,2256-5485,0.3,SOCIOLOGY|Q4|199/217
Revista Comunicacion,SCIE,0.2,,REV COMUN,0379-3974,1659-3820,0.3,BIOLOGY|Q4|104/109
Revista Corpoica-Ciencia y Tecnologia Agropecuaria,SCIE,0.2,,REV CORPOICA-CIENC T,0122-8706,2500-5308,0.4,"AGRICULTURE, MULTIDISCIPLINARY|Q4|82/89"
